Date,Radio Flux 10.7cm,Sunspot Number,Sunspot Area (10^6 Hemis.),New Regions,Stanford Mean Solar Field (GOES15),Stanford Background X-Ray Flux,Flares: C,Flares: M,Flares: X,Flares: S,Flares: 1,Flares: 2,Flares: 3
1997-01-01,72,0,0,0,*,A0.5,0,0,0,-1,-1,-1,-1
1997-01-02,72,0,0,0,*,A0.5,0,0,0,-1,-1,-1,-1
1997-01-03,73,0,0,0,3,A0.5,0,0,0,-1,-1,-1,-1
1997-01-04,74,13,10,1,*,A0.6,0,0,0,-1,-1,-1,-1
1997-01-05,74,15,20,0,5,A0.7,0,0,0,-1,-1,-1,-1
1997-01-06,73,15,10,0,8,A1.0,0,0,0,-1,-1,-1,-1
1997-01-07,73,12,0,0,*,A0.8,0,0,0,-1,-1,-1,-1
1997-01-08,74,0,0,0,*,A0.8,0,0,0,-1,-1,-1,-1
1997-01-09,74,12,20,1,*,A0.8,0,0,0,-1,-1,-1,-1
1997-01-10,75,13,30,0,*,A0.8,0,0,0,-1,-1,-1,-1
1997-01-11,74,12,20,0,*,A1.5,0,0,0,-1,-1,-1,-1
1997-01-12,75,0,0,0,*,A1.0,0,0,0,-1,-1,-1,-1
1997-01-13,75,0,0,0,*,A1.0,0,0,0,-1,-1,-1,-1
1997-01-14,75,0,0,0,*,A0.9,0,0,0,-1,-1,-1,-1
1997-01-15,76,14,30,1,*,A1.4,0,0,0,-1,-1,-1,-1
1997-01-16,75,16,20,0,*,A1.4,0,0,0,-1,-1,-1,-1
1997-01-17,74,12,0,0,-1,A0.8,0,0,0,-1,-1,-1,-1
1997-01-18,75,34,0,2,*,A0.7,0,0,0,-1,-1,-1,-1
1997-01-19,75,0,0,0,43,A0.6,0,0,0,-1,-1,-1,-1
1997-01-20,77,0,0,0,*,A0.6,0,0,0,-1,-1,-1,-1
1997-01-21,74,0,0,0,*,A0.4,0,0,0,-1,-1,-1,-1
1997-01-22,73,0,0,0,*,A0.4,0,0,0,-1,-1,-1,-1
1997-01-23,73,0,0,0,-9,A0.5,0,0,0,-1,-1,-1,-1
1997-01-24,74,12,20,1,24,A0.6,0,0,0,-1,-1,-1,-1
1997-01-25,73,11,0,0,*,A0.5,0,0,0,-1,-1,-1,-1
1997-01-26,74,12,0,0,-10,A0.6,0,0,0,-1,-1,-1,-1
1997-01-27,74,11,0,0,-9,A0.7,0,0,0,-1,-1,-1,-1
1997-01-28,73,11,0,0,-2,A0.8,0,0,0,-1,-1,-1,-1
1997-01-29,75,16,20,1,-4,A0.9,0,0,0,-1,-1,-1,-1
1997-01-30,74,15,30,0,*,A1.2,0,0,0,-1,-1,-1,-1
1997-01-31,72,13,10,0,-10,A0.9,0,0,0,-1,-1,-1,-1
1997-02-01,71,14,20,0,-14,A0.9,0,0,0,-1,-1,-1,-1
1997-02-02,78,36,60,1,0,A0.8,0,0,0,-1,-1,-1,-1
1997-02-03,80,45,180,0,5,A8.7,0,0,0,-1,-1,-1,-1
1997-02-04,81,44,170,0,28,A5.9,0,0,0,-1,-1,-1,-1
1997-02-05,75,33,150,0,-3,A3.8,0,0,0,-1,-1,-1,-1
1997-02-06,74,35,100,1,-3,A1.2,0,0,0,-1,-1,-1,-1
1997-02-07,76,38,30,0,-10,A3.5,0,0,0,-1,-1,-1,-1
1997-02-08,75,11,0,0,*,A2.7,0,0,0,-1,-1,-1,-1
1997-02-09,73,11,0,0,*,A2.4,0,0,0,-1,-1,-1,-1
1997-02-10,72,0,0,0,*,A2.3,0,0,0,-1,-1,-1,-1
1997-02-11,71,0,0,0,*,A1.1,0,0,0,-1,-1,-1,-1
1997-02-12,71,0,0,0,*,A0.5,0,0,0,-1,-1,-1,-1
1997-02-13,71,0,0,0,*,A0.5,0,0,0,-1,-1,-1,-1
1997-02-14,71,0,0,0,*,A0.5,0,0,0,-1,-1,-1,-1
1997-02-15,72,0,0,0,*,A0.4,0,0,0,-1,-1,-1,-1
1997-02-16,72,0,0,0,*,A0.4,0,0,0,-1,-1,-1,-1
1997-02-17,73,0,0,0,*,A0.4,0,0,0,-1,-1,-1,-1
1997-02-18,73,12,20,1,*,A0.7,0,0,0,-1,-1,-1,-1
1997-02-19,72,15,10,0,*,A0.9,0,0,0,-1,-1,-1,-1
1997-02-20,73,0,0,0,*,A2.5,3,0,0,-1,-1,-1,-1
1997-02-21,73,0,0,0,-5,A1.2,3,0,0,-1,-1,-1,-1
1997-02-22,74,0,0,0,-9,A0.9,0,0,0,-1,-1,-1,-1
1997-02-23,75,0,0,0,-8,A1.2,0,0,0,-1,-1,-1,-1
1997-02-24,75,11,10,1,-11,A1.2,0,0,0,-1,-1,-1,-1
1997-02-25,74,12,10,0,-4,A1.0,0,0,0,-1,-1,-1,-1
1997-02-26,74,0,0,0,-15,A0.9,0,0,0,-1,-1,-1,-1
1997-02-27,74,0,0,0,-11,A0.8,0,0,0,-1,-1,-1,-1
1997-02-28,73,0,0,0,-7,A0.7,0,0,0,-1,-1,-1,-1
1997-03-01,74,0,0,0,-3,A1.1,0,0,0,-1,-1,-1,-1
1997-03-02,72,0,0,0,*,A1.2,0,0,0,-1,-1,-1,-1
1997-03-03,74,0,0,0,*,A0.9,0,0,0,-1,-1,-1,-1
1997-03-04,74,0,0,0,3,A1.0,0,0,0,-1,-1,-1,-1
1997-03-05,75,0,0,0,8,A2.3,0,0,0,-1,-1,-1,-1
1997-03-06,75,11,120,1,1,A4.9,0,0,0,-1,-1,-1,-1
1997-03-07,74,12,100,0,3,A3.4,0,0,0,-1,-1,-1,-1
1997-03-08,75,26,120,1,-4,A3.2,0,0,0,-1,-1,-1,-1
1997-03-09,75,26,70,0,-13,A2.5,0,0,0,-1,-1,-1,-1
1997-03-10,75,17,50,0,-7,A3.2,0,0,0,-1,-1,-1,-1
1997-03-11,74,15,30,0,-6,A2.4,0,0,0,-1,-1,-1,-1
1997-03-12,74,21,30,0,-9,A1.4,0,0,0,-1,-1,-1,-1
1997-03-13,74,18,20,0,-12,A1.7,0,0,0,-1,-1,-1,-1
1997-03-14,76,43,50,1,-1,A1.5,0,0,0,-1,-1,-1,-1
1997-03-15,76,42,30,0,-9,A2.1,0,0,0,-1,-1,-1,-1
1997-03-16,76,25,30,0,*,A1.6,0,0,0,-1,-1,-1,-1
1997-03-17,75,15,30,0,-18,A2.3,0,0,0,-1,-1,-1,-1
1997-03-18,74,24,0,1,-3,A1.9,0,0,0,-1,-1,-1,-1
1997-03-19,74,0,0,0,-17,A1.0,0,0,0,-1,-1,-1,-1
1997-03-20,72,23,0,2,-14,A1.0,0,0,0,-1,-1,-1,-1
1997-03-21,71,0,0,0,*,A0.5,0,0,0,-1,-1,-1,-1
1997-03-22,71,0,0,0,-8,A0.4,0,0,0,-1,-1,-1,-1
1997-03-23,71,0,0,0,-7,A0.5,0,0,0,-1,-1,-1,-1
1997-03-24,71,0,0,0,-1,A0.5,0,0,0,-1,-1,-1,-1
1997-03-25,71,0,0,0,-9,A0.5,0,0,0,-1,-1,-1,-1
1997-03-26,70,0,0,0,-6,A0.5,0,0,0,-1,-1,-1,-1
